model,bandwidth_mbps,cpu_load_target,strategy,repeats,split_nodes,edge_node_count,cloud_node_count,estimated_total_ms,actual_total_mean_ms,actual_total_std_ms,edge_actual_mean_ms,transmission_actual_mean_ms,cloud_actual_mean_ms,payload_bytes_mean,cpu_load_avg
mobilenet_v2,20.0,0.0,dsl,5,,154,0,36.50336000000074,28.960979999999736,2.5596218240200628,28.960979999999736,0.0,0.0,0.0,15.0
mobilenet_v2,20.0,0.0,pure_edge,5,,154,0,36.50336000000074,27.071659999999653,1.7762888526364184,27.071659999999653,0.0,0.0,0.0,15.0
mobilenet_v2,20.0,0.0,pure_cloud,5,__input__,1,153,256.95661999999686,272.7560999999998,12.644483175874909,0.350859999999642,255.44624000000306,16.958999999997104,602112.0,15.0
mobilenet_v2,50.0,0.0,dsl,5,,154,0,36.50336000000074,28.911820000000077,2.054092534916544,28.911820000000077,0.0,0.0,0.0,15.0
mobilenet_v2,50.0,0.0,pure_edge,5,,154,0,36.50336000000074,28.471180000000018,1.4501677358157816,28.471180000000018,0.0,0.0,0.0,15.0
mobilenet_v2,50.0,0.0,pure_cloud,5,__input__,1,153,112.44973999999686,123.21375999999944,5.239351033572937,0.17585999999987223,109.60469999999098,13.433200000008583,602112.0,15.0
mobilenet_v2,100.0,0.0,dsl,5,features_7_conv_3,60,94,34.063359999999356,34.34231999999966,5.807454327586277,14.397980000000388,11.621159999997133,8.32318000000214,50176.0,15.0
mobilenet_v2,100.0,0.0,pure_edge,5,,154,0,36.50336000000074,30.45492000000003,8.50717327535958,30.45492000000003,0.0,0.0,0.0,15.0
mobilenet_v2,100.0,0.0,pure_cloud,5,__input__,1,153,64.28077999999687,76.25713999999988,2.885180415156855,0.22829999999984807,61.98826000000608,14.040579999993952,602112.0,15.0
mobilenet_v2,200.0,0.0,dsl,5,features_4_conv_3,34,120,31.693520000003197,46.968520000000424,8.680683858256659,18.749520000000075,16.014360000007244,12.204639999993105,100352.0,15.0
mobilenet_v2,200.0,0.0,pure_edge,5,,154,0,36.50336000000074,42.42930000000058,8.077079998056504,42.42930000000058,0.0,0.0,0.0,15.0
mobilenet_v2,200.0,0.0,pure_cloud,5,__input__,1,153,40.19629999999687,44.65085999999978,2.0398973498692294,0.2506599999996695,29.965839999993094,14.434360000007018,602112.0,15.0
mobilenet_v2,500.0,0.0,dsl,5,__input__,1,153,25.745611999996868,40.72806,8.45018171834156,0.2661000000003355,26.150699999988802,14.311260000010861,602112.0,15.0
mobilenet_v2,500.0,0.0,pure_edge,5,,154,0,36.50336000000074,47.12972000000022,12.432075981991304,47.12972000000022,0.0,0.0,0.0,15.0
mobilenet_v2,500.0,0.0,pure_cloud,5,__input__,1,153,25.745611999996868,42.059739999999834,2.474479255924778,0.1948199999997513,26.011519999996935,15.853400000003148,602112.0,15.0
mobilenet_v2,1000.0,0.0,dsl,5,__input__,1,153,20.928715999996868,34.262899999999874,5.042655419021956,0.30041999999994573,19.033300000021214,14.929179999978714,602112.0,15.0
mobilenet_v2,1000.0,0.0,pure_edge,5,,154,0,36.50336000000074,36.98622,6.756314519544679,36.98622,0.0,0.0,0.0,15.0
mobilenet_v2,1000.0,0.0,pure_cloud,5,__input__,1,153,20.928715999996868,34.04984000000013,5.952593532905753,0.25122000000052935,20.445539999975182,13.35308000002442,602112.0,15.0
mobilenet_v2,20.0,30.0,dsl,5,,154,0,29.99151999999441,32.550459999999504,4.545350837174216,32.550459999999504,0.0,0.0,0.0,42.574999999999996
mobilenet_v2,20.0,30.0,pure_edge,5,,154,0,29.99151999999441,28.500860000000472,0.9079345945597,28.500860000000472,0.0,0.0,0.0,49.61999999999999
mobilenet_v2,20.0,30.0,pure_cloud,5,__input__,1,153,256.95661999999686,274.2500199999995,17.35833341861953,0.24376000000003728,256.31881999999064,17.68744000000879,602112.0,48.82857142857142
mobilenet_v2,50.0,30.0,dsl,5,,154,0,29.99151999999441,53.67191999999932,14.926343025571645,53.67191999999932,0.0,0.0,0.0,49.824999999999996
mobilenet_v2,50.0,30.0,pure_edge,5,,154,0,29.99151999999441,33.863320000000385,1.640220212958808,33.863320000000385,0.0,0.0,0.0,49.824999999999996
mobilenet_v2,50.0,30.0,pure_cloud,5,__input__,1,153,112.44973999999686,129.40531999999934,6.212826175097619,0.27541999999982636,114.08844000001324,15.041459999986273,602112.0,53.85
mobilenet_v2,100.0,30.0,dsl,5,features_7_conv_3,60,94,29.395199999987334,44.70457999999908,1.3296005422683446,18.51441999999892,16.65411999999975,9.536040000000412,50176.0,53.85
mobilenet_v2,100.0,30.0,pure_edge,5,,154,0,29.99151999999441,36.76285999999962,12.970103899660204,36.76285999999962,0.0,0.0,0.0,53.85
mobilenet_v2,100.0,30.0,pure_cloud,5,__input__,1,153,64.28077999999687,80.11447999999888,9.273448794920435,0.28819999999925017,66.19868000001574,13.627599999983886,602112.0,55.18181818181818
