model,bandwidth_mbps,cpu_load_target,strategy,repeats,actual_warmup_runs,split_nodes,edge_node_count,cloud_node_count,estimated_total_ms,actual_total_mean_ms,actual_total_std_ms,edge_actual_mean_ms,edge_actual_std_ms,transmission_actual_mean_ms,transmission_actual_std_ms,cloud_actual_mean_ms,cloud_actual_std_ms,payload_bytes_mean,payload_bytes_std,cpu_load_avg,cpu_load_min,cpu_load_max
mobilenet_v2,1.0000,0.0000,dsl,10,2,,21,0,17.1850,17.9824,2.0274,17.9824,2.0274,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,17.8000,17.8000,17.8000
mobilenet_v2,1.0000,0.0000,pure_edge,10,2,,21,0,17.1850,17.1397,1.2130,17.1397,1.2130,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,17.8000,17.8000,17.8000
mobilenet_v2,1.0000,0.0000,pure_cloud,10,2,__input__,1,20,4826.6031,4837.2128,8.3092,0.0847,0.0143,4827.5133,6.9265,9.6148,2.6952,602112.0000,0.0000,17.8000,17.8000,17.8000
mobilenet_v2,2.0000,0.0000,dsl,10,2,,21,0,17.1850,16.0969,0.5513,16.0969,0.5513,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,17.8000,17.8000,17.8000
mobilenet_v2,2.0000,0.0000,pure_edge,10,2,,21,0,17.1850,16.6484,2.1393,16.6484,2.1393,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,17.8000,17.8000,17.8000
mobilenet_v2,2.0000,0.0000,pure_cloud,10,2,__input__,1,20,2418.1551,2424.2332,3.5062,0.0776,0.0058,2415.6028,3.4345,8.5528,0.2278,602112.0000,0.0000,17.8000,17.8000,17.8000
mobilenet_v2,5.0000,0.0000,dsl,10,2,,21,0,17.1850,16.3471,1.4755,16.3471,1.4755,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,17.8000,17.8000,17.8000
mobilenet_v2,5.0000,0.0000,pure_edge,10,2,,21,0,17.1850,21.1592,4.5861,21.1592,4.5861,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,17.8000,17.8000,17.8000
mobilenet_v2,5.0000,0.0000,pure_cloud,10,2,__input__,1,20,973.0863,987.1561,8.7552,0.0848,0.0259,977.5539,8.6148,9.5174,0.6673,602112.0000,0.0000,17.8000,17.8000,17.8000
mobilenet_v2,10.0000,0.0000,dsl,10,2,,21,0,17.1850,17.0552,1.5896,17.0552,1.5896,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,17.8000,17.8000,17.8000
mobilenet_v2,10.0000,0.0000,pure_edge,10,2,,21,0,17.1850,17.7506,1.4612,17.7506,1.4612,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,17.8000,17.8000,17.8000
mobilenet_v2,10.0000,0.0000,pure_cloud,10,2,__input__,1,20,491.3967,499.2647,5.7028,0.0775,0.0067,490.9221,5.5686,8.2651,0.5332,602112.0000,0.0000,17.8000,17.8000,17.8000
mobilenet_v2,20.0000,0.0000,dsl,10,2,,21,0,17.1850,18.0586,2.0572,18.0586,2.0572,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,17.8000,17.8000,17.8000
mobilenet_v2,20.0000,0.0000,pure_edge,10,2,,21,0,17.1850,18.9466,2.5575,18.9466,2.5575,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,17.8000,17.8000,17.8000
mobilenet_v2,20.0000,0.0000,pure_cloud,10,2,__input__,1,20,250.5519,263.0546,4.0260,0.0896,0.0307,254.0680,2.7748,8.8970,1.9689,602112.0000,0.0000,17.8000,17.8000,17.8000
mobilenet_v2,50.0000,0.0000,dsl,10,2,,21,0,17.1850,14.6499,0.5819,14.6499,0.5819,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,17.8000,17.8000,17.8000
