model,bandwidth_mbps,cpu_load_target,strategy,repeats,actual_warmup_runs,split_nodes,edge_node_count,cloud_node_count,estimated_total_ms,actual_total_mean_ms,actual_total_std_ms,edge_actual_mean_ms,edge_actual_std_ms,transmission_actual_mean_ms,transmission_actual_std_ms,cloud_actual_mean_ms,cloud_actual_std_ms,payload_bytes_mean,payload_bytes_std,cpu_load_avg,cpu_load_min,cpu_load_max
resnet50,0.5000,0.0000,dsl,10,2,,19,0,58.4508,55.4811,8.3186,55.4811,8.3186,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,15.9000,15.9000,15.9000
resnet50,0.5000,0.0000,pure_edge,10,2,,19,0,58.4508,102.4699,37.3693,102.4699,37.3693,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,15.9000,15.9000,15.9000
resnet50,0.5000,0.0000,pure_cloud,10,2,__input__,1,18,9645.1543,9655.8246,4.5027,0.0809,0.0109,9645.4839,4.1337,10.2598,1.2483,602112.0000,0.0000,15.9000,15.9000,15.9000
resnet50,1.0000,0.0000,dsl,10,2,,19,0,58.4508,52.3777,4.3382,52.3777,4.3382,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,15.9000,15.9000,15.9000
resnet50,1.0000,0.0000,pure_edge,10,2,,19,0,58.4508,57.0764,18.3062,57.0764,18.3062,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,15.9000,15.9000,15.9000
resnet50,1.0000,0.0000,pure_cloud,10,2,__input__,1,18,4828.2583,4838.3696,6.2606,0.0808,0.0190,4827.9922,6.2297,10.2966,1.6318,602112.0000,0.0000,15.9000,15.9000,15.9000
resnet50,5.0000,0.0000,dsl,10,2,,19,0,58.4508,71.5672,34.5944,71.5672,34.5944,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,15.9000,15.9000,15.9000
resnet50,5.0000,0.0000,pure_edge,10,2,,19,0,58.4508,123.9386,45.2656,123.9386,45.2656,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,15.9000,15.9000,15.9000
resnet50,5.0000,0.0000,pure_cloud,10,2,__input__,1,18,974.7415,984.8465,4.1300,0.1114,0.0662,974.4642,4.1068,10.2708,1.5539,602112.0000,0.0000,15.9000,15.9000,15.9000
resnet50,10.0000,0.0000,dsl,10,2,,19,0,58.4508,93.0003,31.9836,93.0003,31.9836,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,15.9000,15.9000,15.9000
