model,bandwidth_mbps,cpu_load_target,strategy,repeats,actual_warmup_runs,split_nodes,edge_node_count,cloud_node_count,estimated_total_ms,actual_total_mean_ms,actual_total_std_ms,edge_actual_mean_ms,edge_actual_std_ms,transmission_actual_mean_ms,transmission_actual_std_ms,cloud_actual_mean_ms,cloud_actual_std_ms,payload_bytes_mean,payload_bytes_std,cpu_load_avg,cpu_load_min,cpu_load_max
vgg16,1.0000,0.0000,dsl,10,2,,7,0,130.0142,120.3939,8.5974,120.3939,8.5974,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,18.3000,18.3000,18.3000
vgg16,1.0000,0.0000,pure_edge,10,2,,7,0,130.0142,119.5900,7.2469,119.5900,7.2469,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,18.3000,18.3000,18.3000
vgg16,1.0000,0.0000,pure_cloud,10,2,__input__,1,6,4831.2065,4844.6642,6.6868,0.0888,0.0440,4827.6431,5.4242,16.9323,1.7231,602112.0000,0.0000,18.3000,18.3000,18.3000
vgg16,2.0000,0.0000,dsl,10,2,,7,0,130.0142,148.2924,21.6023,148.2924,21.6023,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,18.3000,18.3000,18.3000
vgg16,2.0000,0.0000,pure_edge,10,2,,7,0,130.0142,121.0688,6.6316,121.0688,6.6316,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,18.3000,18.3000,18.3000
vgg16,2.0000,0.0000,pure_cloud,10,2,__input__,1,6,2422.7585,2437.0128,5.3553,0.0851,0.0451,2420.3463,5.1705,16.5814,1.1667,602112.0000,0.0000,18.3000,18.3000,18.3000
vgg16,5.0000,0.0000,dsl,10,2,,7,0,130.0142,170.3177,28.8989,170.3177,28.8989,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,18.3000,18.3000,18.3000
vgg16,5.0000,0.0000,pure_edge,10,2,,7,0,130.0142,131.3563,7.9694,131.3563,7.9694,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,18.3000,18.3000,18.3000
vgg16,5.0000,0.0000,pure_cloud,10,2,__input__,1,6,977.6897,991.0900,3.4753,0.0761,0.0272,973.4925,3.4869,17.5213,2.4975,602112.0000,0.0000,18.3000,18.3000,18.3000
vgg16,10.0000,0.0000,dsl,10,2,,7,0,130.0142,134.1294,31.7394,134.1294,31.7394,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,18.3000,18.3000,18.3000
vgg16,10.0000,0.0000,pure_edge,10,2,,7,0,130.0142,126.4399,15.9241,126.4399,15.9241,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,18.3000,18.3000,18.3000
vgg16,10.0000,0.0000,pure_cloud,10,2,__input__,1,6,496.0001,510.2245,3.3976,0.0681,0.0129,493.7680,3.2154,16.3884,1.2203,602112.0000,0.0000,18.3000,18.3000,18.3000
vgg16,20.0000,0.0000,dsl,10,2,,7,0,130.0142,133.6705,28.6931,133.6705,28.6931,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,18.3000,18.3000,18.3000
vgg16,20.0000,0.0000,pure_edge,10,2,,7,0,130.0142,124.4634,10.1454,124.4634,10.1454,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,18.3000,18.3000,18.3000
vgg16,20.0000,0.0000,pure_cloud,10,2,__input__,1,6,255.1553,262.3063,2.3601,0.0680,0.0086,246.0779,1.7469,16.1604,1.0303,602112.0000,0.0000,18.3000,18.3000,18.3000
vgg16,50.0000,0.0000,dsl,10,2,__input__,1,6,110.6484,122.7185,2.2823,0.0668,0.0079,106.7046,1.9384,15.9471,0.9533,602112.0000,0.0000,18.3000,18.3000,18.3000
vgg16,50.0000,0.0000,pure_edge,10,2,,7,0,130.0142,122.5054,16.0954,122.5054,16.0954,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,18.3000,18.3000,18.3000
vgg16,50.0000,0.0000,pure_cloud,10,2,__input__,1,6,110.6484,124.4386,3.6704,0.0797,0.0332,108.1244,3.2976,16.2344,1.8213,602112.0000,0.0000,18.3000,18.3000,18.3000
vgg16,100.0000,0.0000,dsl,10,2,__input__,1,6,62.4795,79.3987,6.7978,0.0724,0.0142,63.3851,6.9707,15.9413,0.8092,602112.0000,0.0000,18.3000,18.3000,18.3000
vgg16,100.0000,0.0000,pure_edge,10,2,,7,0,130.0142,121.5259,16.1954,121.5259,16.1954,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,18.3000,18.3000,18.3000
vgg16,100.0000,0.0000,pure_cloud,10,2,__input__,1,6,62.4795,77.0587,1.2108,0.0691,0.0127,61.0562,0.9147,15.9333,0.7315,602112.0000,0.0000,18.3000,18.3000,18.3000
vgg16,1.0000,30.0000,dsl,10,2,,7,0,125.9984,144.2807,21.5483,144.2807,21.5483,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,52.5500,19.8000,85.3000
vgg16,1.0000,30.0000,pure_edge,10,2,,7,0,125.9984,126.5698,5.0705,126.5698,5.0705,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,55.2765,19.8000,85.3000
vgg16,1.0000,30.0000,pure_cloud,10,2,__input__,1,6,4831.2065,4843.4021,5.0132,0.0768,0.0114,4826.1676,4.8772,17.1577,1.9267,602112.0000,0.0000,34.0969,14.8000,85.3000
vgg16,2.0000,30.0000,dsl,10,2,,7,0,125.9984,126.1490,4.8151,126.1490,4.8151,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,34.5878,14.8000,85.3000
vgg16,2.0000,30.0000,pure_edge,10,2,,7,0,125.9984,121.1059,16.9124,121.1059,16.9124,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,35.3291,14.8000,85.3000
vgg16,2.0000,30.0000,pure_cloud,10,2,__input__,1,6,2422.7585,2439.7119,7.9818,0.0989,0.0451,2422.3246,6.3180,17.2884,2.1761,602112.0000,0.0000,34.0476,14.8000,85.3000
vgg16,5.0000,30.0000,dsl,10,2,,7,0,125.9984,173.3625,16.8580,173.3625,16.8580,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,34.9774,14.8000,89.1000
vgg16,5.0000,30.0000,pure_edge,10,2,,7,0,125.9984,140.8874,12.0506,140.8874,12.0506,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,35.4717,14.8000,89.1000
vgg16,5.0000,30.0000,pure_cloud,10,2,__input__,1,6,977.6897,992.9067,4.6852,0.0745,0.0077,976.3396,4.0040,16.4927,1.6117,602112.0000,0.0000,35.1665,14.8000,89.1000
vgg16,10.0000,30.0000,dsl,10,2,,7,0,125.9984,147.8609,11.4239,147.8609,11.4239,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,35.6732,14.8000,89.1000
vgg16,10.0000,30.0000,pure_edge,10,2,,7,0,125.9984,141.9182,17.9281,141.9182,17.9281,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,36.3728,14.8000,89.1000
vgg16,10.0000,30.0000,pure_cloud,10,2,__input__,1,6,496.0001,514.2933,4.7747,0.0942,0.0200,498.2278,4.8135,15.9713,0.4446,602112.0000,0.0000,36.1988,14.8000,89.1000
vgg16,20.0000,30.0000,dsl,10,2,,7,0,125.9984,143.3780,6.7188,143.3780,6.7188,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,36.5855,14.8000,89.1000
vgg16,20.0000,30.0000,pure_edge,10,2,,7,0,125.9984,134.4466,5.0547,134.4466,5.0547,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,37.1533,14.8000,89.1000
vgg16,20.0000,30.0000,pure_cloud,10,2,__input__,1,6,255.1553,265.0110,3.6171,0.0760,0.0094,249.0130,3.4963,15.9220,0.5208,602112.0000,0.0000,36.9317,14.8000,89.1000
vgg16,50.0000,30.0000,dsl,10,2,__input__,1,6,110.6484,123.5548,3.2790,0.0949,0.0377,104.7328,2.4172,18.7271,2.8147,602112.0000,0.0000,36.8224,14.8000,89.1000
vgg16,50.0000,30.0000,pure_edge,10,2,,7,0,125.9984,139.2835,9.9964,139.2835,9.9964,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,37.1529,14.8000,89.1000
vgg16,50.0000,30.0000,pure_cloud,10,2,__input__,1,6,110.6484,127.9118,9.0972,0.0889,0.0551,111.1342,6.8844,16.6886,2.6548,602112.0000,0.0000,37.1350,14.8000,89.1000
vgg16,100.0000,30.0000,dsl,10,2,__input__,1,6,62.4795,82.9953,11.4555,0.1137,0.0464,67.1194,8.9867,15.7621,2.7674,602112.0000,0.0000,37.2632,14.8000,89.1000
vgg16,100.0000,30.0000,pure_edge,10,2,,7,0,125.9984,149.0657,14.1413,149.0657,14.1413,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,37.7317,14.8000,89.1000
vgg16,100.0000,30.0000,pure_cloud,10,2,__input__,1,6,62.4795,78.5452,4.9987,0.1048,0.0496,60.2761,5.5240,18.1642,2.0119,602112.0000,0.0000,37.7446,14.8000,89.1000
vgg16,1.0000,60.0000,dsl,10,2,,7,0,227.5198,267.8528,41.1870,267.8528,41.1870,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,76.8750,40.3000,97.2000
vgg16,1.0000,60.0000,pure_edge,10,2,,7,0,227.5198,242.9488,50.8247,242.9488,50.8247,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,78.5308,40.3000,97.2000
